fmla,n,freq,cumulative_freq,AUC,Emax,
163,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ firstrses_standardized+ bis1_standardized,2,0.001,0.86,0.787,0.04
164,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.862,0.793,0.049
165,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q22_0_a+ bis1_standardized,2,0.001,0.862,0.787,0.04
166,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,2,0.001,0.864,0.799,0.096
167,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.864,0.803,0.023
168,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ q22_0_a+ bis1_standardized,2,0.001,0.866,0.796,0.044
169,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.866,0.791,0.081
170,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.868,0.798,0.039
171,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.868,0.805,0.023
172,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,2,0.001,0.87,0.8,0.058
173,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,2,0.001,0.87,0.8,0.035
174,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.872,0.79,0.035
175,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,2,0.001,0.872,0.793,0.08
176,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.874,0.799,0.11
177,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q5_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.874,0.796,0.046
178,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ bis1_standardized,2,0.001,0.876,0.791,0.032
179,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.876,0.792,0.034
